Pressão (kgf/cm2); Cota(m)
159.37; -1389.5
159.41; -1393
159.49; -1399
159.54; -1404
159.62; -1411
159.71; -1419
159.75; -1423
159.81; -1427
159.86; -1440
159.88; -1433.5
160.16; -1436.5
161.09; -1444.5
162.67; -1458.5
165.18; -1479.5
166.91; -1495
168.92; -1512
160.62; -1440
160.55; -1390.6
160.91; -1427
160.63; -1393
190.58; -1679.8
191.12; -1683
190.77; -1689
190.73; -1693
191.42; -1697.7
191.58; -1700.8
192.03; -1705.5
196.61; -1743
199.92; -1771
204.77; -1810.7
194.68; -1727
201.56; -1785
186.23; -1666
190.65; -1679.8
190.58; -1682.8
191.42; -1698
194.15; -1680.6
191.97; -1683
192.3; -1683
297.9; -2612.5
299.06; -2615
299.58; -2634
313.32; -2748.5
314.2; -2751.4
313.63; -2755.3
