Corrida;Tipo;No.;Prof./Intv.(m);Cota (m);"Pressão Hidrostatica (Kgf/cm2)";"Pressão de Formação (Kgf/cm2)";Amostra?;Resultados
2;Pressão;1;663.8;-542.8;;65.18;Não;Efetivo alta mobilidade
2;Pressão;2;642.2;-521.2;;62.76;Não;Efetivo alta mobilidade
2;Pressão;3;748.0;-627.0;;73.25;Não;Efetivo altíssima mobilidade
2;Pressão;4;767.8;-646.8;;75.23;Não;Efetivo altíssima mobilidade
2;Pressão;5;857.6;-736.6;;85.90;Não;Efetivo alta mobilidade
2;Pressão;6;891.2;-770.2;;88.83;Não;Efetivo alta mobilidade
2;Pressão;7;1030.0;-909.0;;104.60;Não;Efetivo alta mobilidade
2;Pressão;8;1097.4;-976.4;;112.06;Não;Efetivo alta mobilidade
2;Pressão;9;1116.5;-995.5;;;Não;Abortado, fechado.
2;Pressão;10;1116.3;-995.3;;114.24;Não;Efetivo com baixa mobilidade
2;Pressão;11;1249.0;-1128.0;;128.79;Não;Efetivo alta mobilidade
2;Pressão;12;1329.0;-1208.0;;137.83;Não;Efetivo baixa mobilidade
2;Pressão;13;1328.9;-1207.9;;;Não;Abortado baixissima mobilidade
2;Pressão;14;1328.8;-1207.8;;137.77;Não;Efetivo com regular mobilidade
2;Pressão;15;1403.3;-1282.3;;;Não;Abortado baixissima mobilidade
2;Pressão;16;1403.4;-1282.4;;;Não;Abortado baixissima mobilidade
2;Pressão;17;1403.2;-1282.2;;;Não;Abortado baixissima mobilidade
2;Pressão;18;1672.5;-1551.5;;;Não;Abortado baixissima mobilidade
2;Pressão;19;1671.5;-1550.5;;;Não;Abortado baixissima mobilidade
2;Pressão;20;1672.4;-1551.4;;;Não;Abortado baixissima mobilidade
2;Pressão;21;1689.0;-1568.0;;178.96;Não;Efetivo baixa mobilidade
2;Pressão;22;1732.5;-1611.5;;183.89;Não;Efetivo baixa mobilidade
2;Pressão;23;1747.2;-1626.2;;185.49;Não;Efetivo baixa mobilidade
2;Pressão;24;1760.0;-1639.0;;;Não;Abortado baixissima mobilidade.
2;Pressão;25;1759.2;-1638.2;;187.05;Não;Efetivo baixa mobilidade
2;Pressão;26;1774.2;-1653.2;;;Não;Abortado, seco
2;Pressão;27;1773.4;-1652.4;;188.41;Não;Efetivo baixa mobilidade
2;Pressão;28;1917.2;-1796.2;;;Não;Abortado, seco
2;Pressão;29;1917.5;-1796.5;;;Não;Abortado, seco
2;Pressão;30;1918.2;-1797.2;;;Não;Abortado, seco
